Product Name,Type,Price ,Quantity,Description,Product Image
Mid-Century Modern Armchair,Chair,300,2,"* This stylish armchair from the mid-20th century features clean lines and a sleek design. Made from rich, warm-toned wood, it has a comfortably upholstered seat and backrest in a neutral, textured fabric.
* Condition 8/10, upholstery repaired.
* Originally from local residence",
Antique Roll-Top Desk,Table,1030,1,"* This beautifully crafted red wood desk dates back to the mid 20th century Southeast Asia and boasts intricate carvings and brass hardware. The roll-top design provides ample storage for papers and office supplies, while the multiple drawers and compartments keep everything organized.
* Condition 9/10, new coat of wood-protection varnish",
Vintage Chesterfield Sofa,Chair,1200,1,"* This timeless 90's sofa, known for its deep button tufting and luxurious leather upholstery. With its distinctive curved arms and backrest, this sofa exudes elegance and sophistication. The warm, rich leather adds a touch of warmth and coziness to any living room.
* Condition: 8/10, upholstery dry-cleaned and repaired, springs repaired.",
Art Deco Vanity,Table,700,1,"* This glamorous vanity inspired from the 1920s features a mirrored top and beautiful curved lines. The art deco design is characterized by bold geometric shapes and striking colors, and this vanity is no exception. The multiple drawers and compartments provide ample storage for makeup, jewelry, and other accessories",
Retro Dining Table and Chairs:,Table,1150,1,"* This nostalgic vintage dining set from the 1950s features a sleek table with a Formica top and chrome legs, paired with four comfortable chairs with vinyl upholstery. The retro design is perfect for adding a pop of color to any kitchen or dining room, and the table's compact size makes it a great choice for small spaces.
* Table and chairs NOT sold separately
* Condition: 8/10, Table legs sanded down and given new varnish",
French Provincial Dresser,Table,950,1,"* This elegant dresser inspired from the 18th century features beautiful curved lines and intricate carvings. Made from warm-toned wood, it has multiple drawers and a spacious top for storage and display. The classic French provincial design adds a touch of charm and sophistication to any bedroom.
* Condition: 9/10",
Vintage Eames Lounge Chair and Ottoman set,Chair,1090,1,"* This iconic lounge chair from the mid-20th century is a masterpiece of modern design. With its smooth, curved lines and comfortable leather upholstery, this chair is the perfect place to relax and unwind. The classic design is a true statement piece that will add style and sophistication to any living room.
* Condition: 9/10, Leather upholstery is original, no cracks.",
Retro Bar Cart,Table,,,"* This vintage bar cart from the 1960s features a sleek, chrome-plated frame and two glass shelves. The retro design is perfect for serving drinks and hors d'oeuvres in style, and the compact size makes it a great choice for small apartments and homes.
* Condition: 8/10, Damaged wheels repaired.",
Mid-Century Modern Sideboard,Wares,,,"* This stylish sideboard from the 1980s features a sleek, minimalist design with clean lines and warm-toned wood. With its multiple drawers and compartments, this sideboard is perfect for storing dishes, linens, and other dining essentials. The mid-century modern design is perfect for adding a touch of vintage style to any dining room.
* Condition: 9/10, Originally from local residence",
Burmese Teak Cabinet,Cabinet,,,"* This beautifully crafted teak cabinet from Burma features intricate carvings and brass hardware. The warm-toned wood has a rich, natural grain that adds warmth and texture to any room. The cabinet has multiple shelves and drawers for storage, making it a practical and stylish addition to any home.
* Condition: 9/10, Broken handles repaired, new coat of clear wood-protection varnish applied
",
Thai Floor Cushions,Wares,,,"* These colorful floor cushions from Thailand are perfect for adding a touch of Southeast Asian style to any home. Handmade from traditional textiles, they feature bold patterns and bright colors that are sure to catch the eye. They're great for use as extra seating or as a comfortable spot to relax and unwind.
* Condition: 9/10, Cushions dry-cleaned.",
Vietnamese Lacquerware Chest,Wares,,,,
Filipino Rattan Chair,Chair,,,,
Cambodian Silk Cushions,Wares,,,,
Malaysian Carved Coffee Table,Table,,,,
Peranakan Cabinet,Cabinet,,,,
Thai Temple Bell,Wares,,,,
Indonesian Batik Stool,Chair,,,,
Vietnamese Ceramic Vase,Wares,,,,
Thai Wooden Elephant,Wares,,,,
Indonesian Batik Wall Hanging,Wares,,,,
Burmese Lacquerware Bowl,Wares,,,,
Malaysian Brass Incense Burner,Wares,,,,
Capiz Shell Chandelier,Wares,,,,
Peranakan Tiles,Wares,,,,
Buddha Statue:,Wares,,,,
Indonesian Wayang Kulit Shadow Puppet,Wares,,,,
Thai Teak Wood Mirror,Mirror,,,,
Burmese Lacquerware Mirror,Mirror,,,,
Cambodian Silk Embroidered Mirror,Mirror,,,,
